,name,ufc_record,nickname,height,reach,weight,stance,DOB,SLpM,SApM,Str_Acc_pct,Str_Def_pct,TD_Avg,TD_Acc_pct,TD_Def_pct,Sub_Avg
0,Xie Bin, 8-2-0,," 5' 10""", --,135,," Feb 28, 1998",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Brandon Jenkins, 15-8-0,THE HUMAN HIGHLIGHT REEL," 6' 0"""," 71""",155, Switch," Sep 30, 1991",2.81,5.9,39.0,35.0,0.0,0.0,25.0,0.0
6,Olivier Murad, 4-0-0,WARRIOR OF GOD, --, --,145,," Dec 21, 1993",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Cameron VanCamp, 15-5-1 (1 NC),," 6' 2""", --,155, Switch," Apr 27, 1993",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jose Alday, 14-6-1,POCHITO," 5' 7"""," 68""",135, Orthodox," Sep 14, 1991",3.13,3.13,44.0,58.0,0.0,0.0,57.0,0.0
2,Tresean Gore, 3-0-0,MR. VICIOUS," 6' 0""", --,185,," Jun 21, 1994",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Logan Urban, 5-2-0,HULK," 6' 0"""," 72""",170, Orthodox," Apr 22, 1994",2.55,16.6,66.0,27.0,0.0,0.0,0.0,0.0
4,Dylan Potter, 10-5-0,BIG POPPA," 6' 2""", --,205,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Reyes Cortez, 5-1-0,JUNIOR," 5' 7""", --,135,," Jul 31, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Santo Curatolo, 6-1-0,," 5' 3""", --,125,," Jan 18, 1995",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jack Della Maddalena, 9-2-0,," 5' 11""", --,170,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Micheal Gillmore, 6-3-0,THE GENTLEMAN," 5' 11"""," 74""",185, Orthodox," Mar 28, 1987",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Saidyokub Kakhramonov, 9-2-0,," 5' 8"""," 69""",135, Orthodox," Nov 14, 1995",2.46,0.82,55.0,61.0,2.05,28.0,87.0,4.1
10,Zviad Lazishvili, 13-0-0,," 5' 6"""," 69""",135, Orthodox," Oct 25, 1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Diego Lopes, 19-3-0,," 5' 11""", --,145, Orthodox," Dec 30, 1994",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Andre Petroski, 5-2-0,," 6' 0"""," 73""",185, Switch," Jun 12, 1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Daniel Santos, 8-1-0,WILLYCAT," 5' 7""", --,135,," Mar 12, 1995",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Liudvik Sholinian, 9-2-1,PALMEYROS," 5' 10""", --,135, Orthodox," Jan 20, 1990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Gilbert Urbina, 6-2-0,THE RGV BAD BOY," 5' 9""", --,185, Orthodox," Apr 05, 1996",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bryan Battle, 5-1-0,POOH BEAR," 6' 2""", --,185,," Sep 21, 1994",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Brady Hiestand, 4-1-0,BAM BAM," 5' 8""", --,135,," Apr 30, 1999",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Jonas Bilharinho, 8-1-1,SHIVA," 5' 11""", --,145,," May 22, 1990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Kolton Englund, 9-3-0,THE WHITE ASSASSIN," 5' 8""", --,155,," Jul 09, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Abus Magomedov, 24-4-1,," 6' 2""", --,185,," Sep 02, 1990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Jesse Murray, 8-3-0,," 6' 3""", --,205,," Jan 26, 1993",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Martin Sano, 4-2-1,," 5' 11""", --,170,," May 30, 1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Zhang Minyang, 0-0-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tom Aaron, 5-3-0,, --, --,155,," Jul 13, 1978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Danny Abbadi, 4-6-0,THE ASSASSIN," 5' 11""", --,155, Orthodox," Jul 03, 1983",3.29,4.41,38.0,57.0,0.0,0.0,77.0,0.0
26,David Abbott, 10-15-0,TANK," 6' 0""", --,265, Switch, --,1.35,3.55,30.0,38.0,1.07,33.0,66.0,0.0
27,Shamil Abdurakhimov, 20-5-0,ABREK," 6' 3"""," 76""",235, Orthodox," Sep 02, 1981",2.45,2.45,44.0,58.0,1.23,24.0,47.0,0.2
28,Hiroyuki Abe, 8-15-3 (1 NC),ABE ANI," 5' 6""", --,145, Orthodox, --,1.71,3.11,36.0,63.0,0.0,0.0,33.0,0.0
29,Daichi Abe, 6-2-0,," 5' 11"""," 71""",170, Orthodox," Nov 27, 1991",3.8,4.49,33.0,56.0,0.33,50.0,0.0,0.0
30,Papy Abedi, 10-4-0,MAKAMBO," 5' 11""", --,185, Southpaw," Jun 30, 1978",2.8,3.15,55.0,48.0,3.47,57.0,50.0,1.3
31,Ricardo Abreu, 5-1-0,DEMENTE," 5' 11""", --,185, Orthodox," Apr 27, 1984",3.79,3.98,31.0,68.0,2.13,42.0,100.0,0.7
32,Klidson Abreu, 15-4-0 (1 NC),WHITE BEAR," 6' 0"""," 74""",205, Orthodox," Dec 24, 1992",2.05,2.9,40.0,55.0,0.64,20.0,80.0,0.0
33,Daniel Acacio, 30-18-0,," 5' 8""", --,180, Orthodox," Dec 27, 1977",3.52,2.85,36.0,62.0,0.33,20.0,81.0,0.0
34,Scott Adams, 8-1-0,," 6' 0""", --,225, Southpaw, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Juan Adams, 5-3-0,THE KRAKEN," 6' 5"""," 80""",265, Orthodox," Jan 16, 1992",7.09,4.06,55.0,34.0,0.91,66.0,57.0,0.0
36,Anthony Adams, 8-2-0,SUGAFOOT," 6' 1"""," 76""",185, Orthodox," Jan 13, 1988",3.17,5.93,41.0,44.0,0.0,0.0,0.0,0.0
