,name,DOB,ufc_record,weight,stance,nickname,heightIN,reachIN
0,Joey Gomez," Jul 21, 1986", 6-2-0,135,Orthodox,KO KING,70,73
1,Michael McDonald," Jan 15, 1991", 17-4-0,135,Orthodox,MAYDAY,69,70
2,Bruno Silva," Mar 16, 1990", 12-5-2 (1 NC),125,Orthodox,BULLDOG,64,65
3,Bruno Silva 1," Jul 13, 1989", 20-6-0,185,Orthodox,BLINDADO,72,74
4,Mike Davis," Oct 07, 1992", 9-2-0,145,Orthodox,BEAST BOY,72,72
5,Viacheslav Borshchev," Jan 08, 1992", 4-1-0,155,Orthodox,SLAVA CLAUS,71,72
6,Joseph Holmes," Jul 04, 1995", 5-1-0,185,Orthodox,UGLYMAN,76,79
7,Brandon Jenkins," Sep 30, 1991", 15-8-0,155,Switch,THE HUMAN HIGHLIGHT REEL,72,71
8,Jose Alday," Sep 14, 1991", 14-6-1,135,Orthodox,POCHITO,67,68
9,Logan Urban," Apr 22, 1994", 5-2-0,170,Orthodox,HULK,72,72
10,Micheal Gillmore," Mar 28, 1987", 6-3-0,185,Orthodox,THE GENTLEMAN,71,74
11,Saidyokub Kakhramonov," Nov 14, 1995", 9-2-0,135,Orthodox,,68,69
12,Zviad Lazishvili," Oct 25, 1991", 13-0-0,135,Orthodox,,66,69
13,Andre Petroski," Jun 12, 1991", 5-2-0,185,Switch,,72,73
14,Shamil Abdurakhimov," Sep 02, 1981", 20-5-0,235,Orthodox,ABREK,75,76
15,Daichi Abe," Nov 27, 1991", 6-2-0,170,Orthodox,,71,71
16,Klidson Abreu," Dec 24, 1992", 15-4-0 (1 NC),205,Orthodox,WHITE BEAR,72,74
17,Juan Adams," Jan 16, 1992", 5-3-0,265,Orthodox,THE KRAKEN,77,80
18,Anthony Adams," Jan 13, 1988", 8-2-0,185,Orthodox,SUGAFOOT,73,76
19,Zarrukh Adashev," Jul 29, 1992", 4-3-0,125,Southpaw,THE LION,65,65
20,Israel Adesanya," Jul 22, 1989", 21-1-0,185,Switch,THE LAST STYLEBENDER,76,80
21,Mariya Agapova," Apr 07, 1997", 9-2-0,125,Southpaw,,66,68
22,Jessica Aguilar," May 08, 1982", 20-8-0,115,Orthodox,JAG,63,63
23,Kevin Aguilar," Sep 07, 1988", 17-5-0,155,Orthodox,ANGEL OF DEATH,67,73
24,Christian Aguilera," Nov 25, 1991", 14-8-0,170,Switch,THE BEAST,69,72
25,Omari Akhmedov," Oct 12, 1987", 21-6-1,185,Orthodox,WOLVERINE,72,73
26,Yoshihiro Akiyama," Jul 29, 1975", 14-6-0 (2 NC),170,Orthodox,,70,75
27,Rostem Akman," Dec 19, 1991", 6-2-0,170,Switch,,70,72
28,Mostapha Al-Turk," Jul 14, 1973", 6-6-0,245,Orthodox,,74,77
29,Herdem Alacabek," Jun 07, 1991", 5-1-0,205,Orthodox,,74,75
30,Heili Alateng," Dec 14, 1991", 14-8-1,135,Orthodox,THE MONGOLIAN KNIGHT,65,66
31,Amir Albazi," Oct 27, 1993", 14-1-0,125,Orthodox,THE PRINCE,65,68
32,John Albert," Oct 13, 1986", 6-5-0,135,Orthodox,PRINCE,68,68
