,hrefs
0,http://ufcstats.com/fighter-details/61e47575b24a06bf
1,http://ufcstats.com/fighter-details/61e47575b24a06bf
2,http://ufcstats.com/fighter-details/61e47575b24a06bf
0,http://ufcstats.com/fighter-details/1a7d44196949577c
1,http://ufcstats.com/fighter-details/1a7d44196949577c
2,http://ufcstats.com/fighter-details/1a7d44196949577c
3,http://ufcstats.com/fighter-details/b8b765e320a8db39
4,http://ufcstats.com/fighter-details/b8b765e320a8db39
5,http://ufcstats.com/fighter-details/b8b765e320a8db39
6,http://ufcstats.com/fighter-details/6b453bc35a823c3f
7,http://ufcstats.com/fighter-details/6b453bc35a823c3f
8,http://ufcstats.com/fighter-details/6b453bc35a823c3f
9,http://ufcstats.com/fighter-details/ce175eaafe867d1f
10,http://ufcstats.com/fighter-details/ce175eaafe867d1f
11,http://ufcstats.com/fighter-details/ce175eaafe867d1f
12,http://ufcstats.com/fighter-details/50a28b9f8314e008
13,http://ufcstats.com/fighter-details/50a28b9f8314e008
14,http://ufcstats.com/fighter-details/50a28b9f8314e008
15,http://ufcstats.com/fighter-details/41498c2d1a87b154
16,http://ufcstats.com/fighter-details/41498c2d1a87b154
17,http://ufcstats.com/fighter-details/41498c2d1a87b154
18,http://ufcstats.com/fighter-details/f166e93d04a8c274
19,http://ufcstats.com/fighter-details/f166e93d04a8c274
20,http://ufcstats.com/fighter-details/f166e93d04a8c274
21,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0
22,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0
23,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0
24,http://ufcstats.com/fighter-details/b67d6bacc68d4c92
25,http://ufcstats.com/fighter-details/b67d6bacc68d4c92
26,http://ufcstats.com/fighter-details/b67d6bacc68d4c92
27,http://ufcstats.com/fighter-details/1a54231796e24a3f
28,http://ufcstats.com/fighter-details/1a54231796e24a3f
29,http://ufcstats.com/fighter-details/1a54231796e24a3f
30,http://ufcstats.com/fighter-details/b12fb759e02378de
31,http://ufcstats.com/fighter-details/b12fb759e02378de
32,http://ufcstats.com/fighter-details/b12fb759e02378de
33,http://ufcstats.com/fighter-details/f626118b6da0e020
34,http://ufcstats.com/fighter-details/f626118b6da0e020
35,http://ufcstats.com/fighter-details/f626118b6da0e020
36,http://ufcstats.com/fighter-details/7af33fc4435017f1
37,http://ufcstats.com/fighter-details/7af33fc4435017f1
38,http://ufcstats.com/fighter-details/7af33fc4435017f1
39,http://ufcstats.com/fighter-details/ebbf571f349e79d9
40,http://ufcstats.com/fighter-details/ebbf571f349e79d9
41,http://ufcstats.com/fighter-details/ebbf571f349e79d9
42,http://ufcstats.com/fighter-details/4122da4f791b2f4f
43,http://ufcstats.com/fighter-details/4122da4f791b2f4f
44,http://ufcstats.com/fighter-details/4122da4f791b2f4f
45,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
46,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
47,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
48,http://ufcstats.com/fighter-details/d0147e906106cd2e
49,http://ufcstats.com/fighter-details/d0147e906106cd2e
50,http://ufcstats.com/fighter-details/d0147e906106cd2e
51,http://ufcstats.com/fighter-details/16a64f93f6678b7b
52,http://ufcstats.com/fighter-details/16a64f93f6678b7b
53,http://ufcstats.com/fighter-details/16a64f93f6678b7b
54,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7
55,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7
56,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7
57,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
58,http://ufcstats.com/fighter-details/15df64c02b6b0fde
59,http://ufcstats.com/fighter-details/b361180739bed4b0
60,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
61,http://ufcstats.com/fighter-details/c0ed7b208197e8de
62,http://ufcstats.com/fighter-details/5140122c3eecd307
63,http://ufcstats.com/fighter-details/c9f6385af6df66d7
64,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
65,http://ufcstats.com/fighter-details/7279654c7674cd24
66,http://ufcstats.com/fighter-details/1c5879330d42255f
67,http://ufcstats.com/fighter-details/2620f3eb21c79614
68,http://ufcstats.com/fighter-details/83b00f7597e5ac83
69,http://ufcstats.com/fighter-details/a77633a989013265
70,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
71,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
72,http://ufcstats.com/fighter-details/0e9869d712e81f8f
73,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
74,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
75,http://ufcstats.com/fighter-details/44aa652b181bcf68
76,http://ufcstats.com/fighter-details/501821d7fb7b95c1
77,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
78,http://ufcstats.com/fighter-details/8f382b3baa954d2a
79,http://ufcstats.com/fighter-details/cf946e03ba2e7666
80,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
81,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
82,http://ufcstats.com/fighter-details/2eada40ac8801559
83,http://ufcstats.com/fighter-details/16690d100f995f8f
84,http://ufcstats.com/fighter-details/b0550072e5f0afa7
85,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
86,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
87,http://ufcstats.com/fighter-details/1cf1310684a841f5
88,http://ufcstats.com/fighter-details/7578cc6bd750206b
89,http://ufcstats.com/fighter-details/2144954270be834d
90,http://ufcstats.com/fighter-details/1897b7b913736a7c
91,http://ufcstats.com/fighter-details/6d35bf94f7d30241
92,http://ufcstats.com/fighter-details/9b28292abe3166d5
93,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
94,http://ufcstats.com/fighter-details/c482c8605455a213
95,http://ufcstats.com/fighter-details/184b955181bdef52
96,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
97,http://ufcstats.com/fighter-details/dd1b90eea08887f6
98,http://ufcstats.com/fighter-details/39f62b833e4cf126
99,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
100,http://ufcstats.com/fighter-details/7c6e87729e824ef4
101,http://ufcstats.com/fighter-details/1e38bba6738b7b10
102,http://ufcstats.com/fighter-details/d26934530dc5b248
103,http://ufcstats.com/fighter-details/578ef12674df1e6a
104,http://ufcstats.com/fighter-details/c487223b0289bda9
105,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
106,http://ufcstats.com/fighter-details/6fd953151d981979
107,http://ufcstats.com/fighter-details/fe5a9547479396ab
108,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
109,http://ufcstats.com/fighter-details/0541480fbf719d86
110,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
111,http://ufcstats.com/fighter-details/d53482bef23235ba
112,http://ufcstats.com/fighter-details/b757c73f443d4fca
113,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
114,http://ufcstats.com/fighter-details/41b34b7f11f6d085
115,http://ufcstats.com/fighter-details/9abc648e76c4493a
116,http://ufcstats.com/fighter-details/669a3cb6e394f515
117,http://ufcstats.com/fighter-details/e17770faae3ca54c
118,http://ufcstats.com/fighter-details/e70de1859b7ee78e
119,http://ufcstats.com/fighter-details/6ebe96a116e79e52
120,http://ufcstats.com/fighter-details/1e13936d708bcff7
121,http://ufcstats.com/fighter-details/040a74bb0a465c54
122,http://ufcstats.com/fighter-details/2f181c0467965b98
123,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
124,http://ufcstats.com/fighter-details/91186547a7f3f758
125,http://ufcstats.com/fighter-details/d615d6a10a4704cd
126,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
127,http://ufcstats.com/fighter-details/67a992d4cff22466
128,http://ufcstats.com/fighter-details/f16ddfa31236efed
129,http://ufcstats.com/fighter-details/41e83a89929d1327
130,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
131,http://ufcstats.com/fighter-details/c6bf75775b278ed8
132,http://ufcstats.com/fighter-details/49b130de1da2e1bf
133,http://ufcstats.com/fighter-details/e87a13e02c01331d
134,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
135,http://ufcstats.com/fighter-details/dc7927cd622676a7
136,http://ufcstats.com/fighter-details/c11036da9162cb5f
137,http://ufcstats.com/fighter-details/e741536153227386
138,http://ufcstats.com/fighter-details/33a331684283900f
139,http://ufcstats.com/fighter-details/4438482bd1d5a029
140,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
141,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
142,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
143,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
144,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
145,http://ufcstats.com/fighter-details/029afd138865d20a
146,http://ufcstats.com/fighter-details/d156513a19acf856
147,http://ufcstats.com/fighter-details/20821819c401ced8
