,name,DOB,age,heightIN,nickname,reachIN,stance,weightclass,sumTotStksLnd,sumTotStksAtt,sumSigStksLnd,sumSigStksAtt,sumTDsLnd,sumTDsAtt,sumSubAtt,sumCtrlSec,sumKDs,sumRevs,sumSigBodyLnd,sumSigBodyAtt,sumSigHeadLnd,sumSigHeadAtt,sumSigLegLnd,sumSigLegAtt,sumSigDistLnd,sumSigDistAtt,sumSigClchLnd,sumSigClchAtt,sumSigGndLnd,sumSigGndAtt,sumTotStksAbs,sumTotStksSeen,sumSigStksAbs,sumSigStksSeen,sumTDsAbs,sumTDsSeen,sumSubEsc,sumCtrldSec,sumKedD,sumReversed,sumSigBodyAbs,sumSigBodySeen,sumSigHeadAbs,sumSigHeadSeen,sumSigLegAbs,sumSigLegSeen,sumSigDistAbs,sumSigDistSeen,sumSigClchAbs,sumSigClchSeen,sumSigGndAbs,sumSigGndSeen,sumFightSec,sumDecWin,sumSubWin,sumKOWin,sumDQWin,sumDecLoss,sumSubLoss,sumKOLoss,sumDQLoss,wins,losses,draws,NCs,sumTitleFights,winPCT,fights,TotStkPerMin,SigStkPerMin,TotStkAcc,SigStkAcc,StkHeadPerMin,StkBodyPerMin,StkLegPerMin,SigHeadStkAcc,SigBodyStkAcc,SigLegStkAcc,StkDistPerMin,StkClchPerMin,StkGndPerMin,SigDistStkAcc,SigClchStkAcc,SigGndStkAcc,TotStkAbsPerMin,SigStkAbsPerMin,TotStkDef,SigStkDef,StkHeadAbsPerMin,StkBodyAbsPerMin,StkLegAbsPerMin,SigHeadStkDef,SigBodyStkDef,SigLegStkDef,StkDistAbsPerMin,StkClchAbsPerMin,StkGndAbsPerMin,SigDistStkDef,SigClchStkDef,SigGndStkDef,TotStkPerMinDiff,SigStkPerMinDiff,CtrlSecPerMin,CtrldSecPerMin,CtrlDiff,TDAcc,TDDef,TDsPerMin,TDsAbsPerMin,KDsPer100Stk,ageLastFight
0,Aalon Cruz,1989-09-20,32,72,0,78,Switch,Men's Lightweight,2,15,2,15,0,3,0,16,0,0,0,5,2,6,0,4,2,15,0,0,0,0,84,112,65,92,0,0,0,63,1,0,1,2,62,88,2,2,9,14,7,8,49,70,185,0,0,0,0,0,0,2,0,0,2,0,0,0,0.0,2,0.6486486486486486,0.6486486486486486,0.13333333333333333,0.13333333333333333,0.6486486486486486,0.0,0.0,0.3333333333333333,0.0,0.0,0.6486486486486486,0.0,0.0,0.13333333333333333,0.0,0.0,27.243243243243242,21.08108108108108,0.25,0.2934782608695652,20.10810810810811,0.3243243243243243,0.6486486486486486,0.2954545454545454,0.5,0.0,2.918918918918919,2.27027027027027,15.891891891891891,0.3571428571428571,0.125,0.30000000000000004,-26.594594594594593,-20.43243243243243,5.189189189189189,20.43243243243243,-15.243243243243242,0.0,0.0,0.0,0.0,0.0,31.0
1,Aaron Brink,1974-11-12,47,75,0,75,Orthodox,Men's Heavyweight,0,5,0,5,0,1,0,4,0,0,0,0,0,5,0,0,0,3,0,2,0,0,2,4,2,4,1,1,2,13,0,0,0,0,1,3,1,1,2,2,0,2,0,0,55,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181818181818182,2.181818181818182,0.5,0.5,1.090909090909091,0.0,1.090909090909091,0.6666666666666667,0.0,0.0,2.181818181818182,0.0,0.0,0.0,1.0,0.0,-2.181818181818182,-2.181818181818182,4.363636363636364,14.181818181818182,-9.818181818181817,0.0,0.0,0.0,1.090909090909091,0.0,26.0
2,Aaron Phillips,1989-08-05,32,69,THE DRAGON,71,Southpaw,Men's Bantamweight,346,432,62,109,0,1,1,73,0,1,29,32,29,71,4,6,28,65,21,25,13,19,257,360,129,213,14,25,2,1709,0,1,21,30,98,170,10,13,25,60,31,40,73,113,2249,0,0,0,0,2,1,0,0,0,3,0,0,0,0.0,3,9.23076923076923,1.6540684748777235,0.8009259259259259,0.5688073394495413,0.7736771898621609,0.7736771898621609,0.10671409515340151,0.4084507042253521,0.90625,0.6666666666666666,0.7469986660738106,0.5602489995553579,0.3468208092485549,0.4307692307692308,0.84,0.6842105263157895,6.856380613606047,3.4415295686971987,0.2861111111111111,0.3943661971830986,2.614495331258337,0.5602489995553579,0.2667852378835038,0.42352941176470593,0.30000000000000004,0.23076923076923073,0.6669630947087595,0.8270342374388617,1.9475322365495775,0.5833333333333333,0.22499999999999998,0.35398230088495575,2.3743886171631834,-1.7874610938194753,1.9475322365495775,45.5935971542908,-43.64606491774122,0.0,0.43999999999999995,0.0,0.3734993330369053,0.0,31.0
3,Aaron Riley,1980-12-09,41,68,0,69,Southpaw,Men's Lightweight,581,1190,314,904,8,23,1,1117,0,0,92,142,147,653,75,109,190,714,102,160,22,30,503,1089,373,954,11,28,0,406,2,0,99,124,246,776,28,54,259,761,100,168,14,25,5722,3,0,0,0,2,0,4,0,3,6,0,0,0,0.3333333333333333,9,6.092275428171968,3.29255505068158,0.48823529411764705,0.3473451327433628,1.5414190842362812,0.9646976581614821,0.7864383082838169,0.225114854517611,0.647887323943662,0.6880733944954128,1.9923103809856695,1.069556099265991,0.23068857042991964,0.2661064425770308,0.6375,0.7333333333333333,5.2743795875567985,3.9112198531981828,0.5381083562901745,0.6090146750524109,2.5795176511709195,1.0380985669346383,0.293603635092625,0.6829896907216495,0.2016129032258065,0.4814814814814815,2.715833624606781,1.0485844110450893,0.1468018175463125,0.6596583442838371,0.40476190476190477,0.43999999999999995,0.8178958406151695,-0.6186648025166028,11.712687871373646,4.257252708843062,7.455435162530584,0.34782608695652173,0.6071428571428572,0.08388675288360714,0.11534428521495982,0.0,33.0
4,Aaron Rosa,1983-05-28,38,76,0,77,Orthodox,Men's Lightheavyweight,407,598,132,290,0,1,0,60,0,0,42,47,81,233,9,10,80,227,52,63,0,0,270,429,129,260,2,14,0,798,0,0,16,19,92,216,21,25,84,206,30,38,15,16,1714,1,0,0,0,0,0,2,0,1,2,0,0,0,0.3333333333333333,3,14.247374562427071,4.620770128354726,0.6806020066889632,0.45517241379310347,2.8354725787631274,1.47024504084014,0.31505250875145857,0.34763948497854075,0.8936170212765957,0.9,2.8004667444574096,1.8203033838973162,0.0,0.3524229074889868,0.8253968253968254,0.0,9.451575262543757,4.515752625437573,0.3706293706293706,0.5038461538461538,3.220536756126021,0.5600933488914819,0.73512252042007,0.5740740740740741,0.1578947368421053,0.16000000000000003,2.94049008168028,1.0501750291715286,0.5250875145857643,0.5922330097087378,0.21052631578947367,0.0625,4.795799299883313,0.1050175029171534,2.100350058343057,27.93465577596266,-25.834305717619603,0.0,0.8571428571428572,0.0,0.07001166861143523,0.0,29.0
5,Aaron Simpson,1974-07-20,47,72,A-TRAIN,73,Orthodox,Men's Welterweight,800,1265,454,860,32,92,4,3208,6,0,97,142,253,608,104,110,164,454,184,252,106,154,493,914,320,730,5,30,2,975,1,1,52,66,192,576,76,88,150,473,145,229,25,28,7603,5,0,2,0,2,0,2,0,7,4,0,0,0,0.6363636363636364,11,6.313297382612126,3.582796264632382,0.6324110671936759,0.5279069767441861,1.996580297251085,0.7654873076417203,0.8207286597395764,0.4161184210526316,0.6830985915492958,0.9454545454545454,1.294225963435486,1.452058398000789,0.8365119031961068,0.36123348017621143,0.7301587301587301,0.6883116883116883,3.8905695120347232,2.5253189530448505,0.4606126914660832,0.5616438356164384,1.5151913718269103,0.4103643298697882,0.599763251348152,0.6666666666666667,0.21212121212121215,0.13636363636363635,1.1837432592397739,1.144285150598448,0.19729054320662895,0.6828752642706131,0.3668122270742358,0.1071428571428571,2.422727870577403,1.0574773115875313,25.316322504274627,7.694331185058529,17.621991319216097,0.34782608695652173,0.8333333333333334,0.25253189530448505,0.03945810864132579,1.3215859030837005,38.0
6,Aaron Wilkinson,1987-01-31,35,70,THE DAYWALKER,70,Unknown,Men's Lightweight,0,1,0,1,1,1,0,64,0,1,0,0,0,1,0,0,0,1,0,0,0,0,8,10,0,2,1,1,2,52,0,2,0,0,0,2,0,0,0,2,0,0,0,0,123,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9024390243902443,0.0,0.19999999999999996,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.9024390243902443,0.0,31.219512195121954,25.365853658536587,5.8536585365853675,1.0,0.0,0.48780487804878053,0.48780487804878053,0.0,24.0
7,Abdul Razak Alhassan,1985-08-11,36,70,0,73,Orthodox,Men's Middleweight,230,455,201,419,2,7,0,242,7,1,23,29,154,353,24,37,165,363,31,49,5,7,366,667,236,506,19,42,2,1408,1,0,53,74,149,397,34,35,164,401,42,62,30,43,3331,0,0,5,0,3,0,1,0,5,4,0,0,0,0.5555555555555556,9,4.142900030021015,3.6205343740618434,0.5054945054945055,0.4797136038186158,2.773941759231462,0.4142900030021015,0.4323026118282798,0.43626062322946174,0.7931034482758621,0.6486486486486487,2.9720804563194236,0.5583908736115281,0.09006304413089163,0.45454545454545453,0.6326530612244898,0.7142857142857143,6.592614830381267,4.250975682978085,0.4512743628185907,0.5335968379446641,2.6838787151005703,0.9546682677874513,0.612428700090063,0.6246851385390428,0.28378378378378377,0.02857142857142858,2.954067847493245,0.7565295706994897,0.5403782647853498,0.5910224438902743,0.32258064516129037,0.3023255813953488,-2.449714800360252,-0.6304413089162417,4.359051335935154,25.361753227259083,-21.00270189132393,0.2857142857142857,0.5476190476190477,0.03602521765235665,0.34223956769738817,3.4825870646766175,36.0
8,Abdul-Kerim Edilov,1991-11-25,30,74,0,74,Orthodox,Men's Lightheavyweight,150,210,77,125,2,2,1,331,0,0,16,17,59,105,2,3,9,22,6,12,62,91,7,21,1,13,0,0,0,0,0,0,0,1,1,12,0,0,1,11,0,1,0,1,452,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,1,19.911504424778762,10.221238938053098,0.7142857142857143,0.616,7.831858407079646,2.1238938053097347,0.26548672566371684,0.5619047619047619,0.9411764705882353,0.6666666666666666,1.1946902654867257,0.7964601769911505,8.230088495575222,0.4090909090909091,0.5,0.6813186813186813,0.9292035398230089,0.13274336283185842,0.6666666666666667,0.9230769230769231,0.13274336283185842,0.0,0.0,0.9166666666666666,1.0,0.0,0.13274336283185842,0.0,0.0,0.9090909090909091,1.0,1.0,18.98230088495575,10.08849557522124,43.93805309734513,0.0,43.93805309734513,1.0,0.0,0.26548672566371684,0.0,0.0,26.0
9,Abel Trujillo,1983-09-18,38,68,KILLA,70,Orthodox,Men's Lightweight,370,767,273,662,15,33,3,1134,3,0,59,75,195,568,19,19,145,483,63,97,65,82,349,728,238,590,34,57,12,1798,1,0,41,65,153,458,44,67,176,487,35,64,27,39,6191,1,1,3,1,2,2,0,0,6,4,0,1,0,0.5454545454545454,11,3.585850428040704,2.6457761266354383,0.48239895697522817,0.4123867069486405,1.8898400904538846,0.571797770957842,0.18413826522371182,0.34330985915492956,0.7866666666666666,1.0,1.4052657082862219,0.610563721531255,0.6299466968179616,0.3002070393374741,0.6494845360824743,0.7926829268292683,3.382329187530286,2.3065740591180743,0.5206043956043955,0.5966101694915253,1.482797609433048,0.3973509933774834,0.4264254563075432,0.6659388646288209,0.36923076923076925,0.34328358208955223,1.7057018252301728,0.3392020675173639,0.26167016637053786,0.6386036960985626,0.453125,0.3076923076923077,0.2035212405104181,0.3392020675173639,10.990146987562591,17.425294782749152,-6.435147795186561,0.45454545454545453,0.4035087719298246,0.14537231465029882,0.32951057987401067,1.098901098901099,34.0
