,blue_name,red_name,prediction,fav_pct,dog_pct,fav_moneyline,dog_moneyline
0,Ciryl Gane,Derrick Lewis,red,0.52,0.48,-108,108
80,Pedro Munhoz,Jose Aldo,red,0.58,0.42,-138,138
173,Vicente Luque,Michael Chiesa,red,0.58,0.42,-138,138
239,Angela Hill,Tecia Torres,red,0.71,0.29,-244,244
279,Casey Kenney,Song Yadong,red,0.63,0.37,-170,170
292,Rafael Fiziev,Bobby Green,blue,0.62,0.38,-163,163
341,Drako Rodriguez,Vince Morales,red,0.63,0.37,-170,170
343,Ed Herman,Alonzo Menifield,blue,0.5,0.5,-100,100
372,Jessica Penne,Karolina Kowalkiewicz,blue,0.54,0.46,-117,117
393,Ode Osbourne,Manel Kape,red,0.58,0.42,-138,138
400,Anderson Dos Santos,Miles Johns,red,0.54,0.46,-117,117
408,Melissa Gatto,Victoria Leonardo,blue,0.63,0.37,-170,170
410,Jamey Simmons,Johnny Munoz,red,0.65,0.35,-185,185
0,Sean Strickland,Uriah Hall,red,0.5,0.5,-100,100
1,Rani Yahya,Kyung Ho Kang,red,0.56,0.44,-127,127
2,Gloria de Paula,Cheyanne Buys,red,0.6,0.4,-150,150
3,Jared Gooden,Niklas Stolze,red,0.5,0.5,-100,100
4,Jason Witt,Bryan Barberena,red,0.61,0.39,-156,156
5,Melsik Baghdasaryan,Collin Anglin,red,0.69,0.31,-222,222
6,Rafa Garcia,Chris Gruetzemacher,blue,0.6,0.4,-150,150
7,Kai Kamaka,Danny Chavez,blue,0.51,0.49,-104,104
8,Ashley Yoder,Jinh Yu Frey,red,0.58,0.42,-138,138
9,Zarrukh Adashev,Ryan Benoit,blue,0.6,0.4,-150,150
10,Orion Cosce,Phil Rowe,red,0.6,0.4,-150,150
