,event,date,location,event_url
0,UFC Fight Night: Barboza vs. Chikadze," August 28, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/0db9d2486d564a3c
0,UFC Fight Night: Cannonier vs. Gastelum," August 21, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/2f13e4020cea5b38
1,UFC 265: Lewis vs. Gane," August 07, 2021"," Houston, Texas, US",http://ufcstats.com/event-details/972197a8c61ac413
2,UFC Fight Night: Hall vs. Strickland," July 31, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/320edfb0332b7073
3,UFC Fight Night: Sandhagen vs. Dillashaw," July 24, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/e57f0b06ea39e360
4,UFC Fight Night: Makhachev vs. Moises," July 17, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/40389d39a92f5bfa
5,UFC 264: Poirier vs. McGregor 3," July 10, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/8a0be41c0380188d
6,UFC Fight Night: Gane vs. Volkov," June 26, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/a1d6b308781aa2f5
7,UFC Fight Night: Jung vs. Ige," June 19, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/9ddfb3369a3b0394
8,UFC 263: Adesanya vs. Vettori 2," June 12, 2021"," Glendale, Arizona, US",http://ufcstats.com/event-details/0b64d0fed453ef7f
9,UFC Fight Night: Rozenstruik vs. Sakai," June 05, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3b2485c8d5c8b580
10,UFC Fight Night: Font vs. Garbrandt," May 22, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/277ffed20cf07aea
11,UFC 262: Oliveira vs. Chandler," May 15, 2021"," Houston, Texas, US",http://ufcstats.com/event-details/744f50016c39c26c
12,UFC Fight Night: Rodriguez vs. Waterson," May 08, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/58a36b4ccf5dc30e
13,UFC Fight Night: Reyes vs. Prochazka," May 01, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/d57e6a8971b6d2bd
14,UFC 261: Usman vs. Masvidal 2," April 24, 2021"," Jacksonville, Florida, US",http://ufcstats.com/event-details/27541033b97c076d
15,UFC Fight Night: Whittaker vs. Gastelum," April 17, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4a35913bd9aa4161
16,UFC Fight Night: Vettori vs. Holland," April 10, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/9114c8ded5ccd71d
17,UFC 260: Miocic vs. Ngannou," March 27, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/6597b611f1c32555
18,UFC Fight Night: Brunson vs. Holland," March 20, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/c36e1f4fa755ffb4
19,UFC Fight Night: Edwards vs. Muhammad," March 13, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/8c90c1563972e44d
20,UFC 259: Blachowicz vs. Adesanya," March 06, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/6e2b1d631832921d
21,UFC Fight Night: Rozenstruik vs. Gane," February 27, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/81b57acd6975ac06
22,UFC Fight Night: Blaydes vs. Lewis," February 20, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bfe95ec546692b13
23,UFC 258: Usman vs. Burns," February 13, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3f7c14c7eca7195d
24,UFC Fight Night: Overeem vs. Volkov," February 06, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/a1153013cb5f628f
25,UFC 257: Poirier vs. McGregor," January 23, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/4304992c2acc187b
26,UFC Fight Night: Chiesa vs. Magny," January 20, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/56116537d71a578c
27,UFC Fight Night: Holloway vs. Kattar," January 16, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/307064d3e0f036c2
28,UFC Fight Night: Thompson vs. Neal," December 19, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/e49c2db95e572dc8
29,UFC 256: Figueiredo vs. Moreno," December 12, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/d0d43cb9b14f231c
30,UFC Fight Night: Hermansson vs. Vettori," December 05, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/398b440e73d55b8b
31,UFC Fight Night: Smith vs. Clark," November 28, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/992c82450d96f726
32,UFC 255: Figueiredo vs. Perez," November 21, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bbb15f301e4a490a
33,UFC Fight Night: Felder vs. Dos Anjos," November 14, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3bc27ec15facbcf3
34,UFC Fight Night: Santos vs. Teixeira," November 07, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/41dca66f9dadfc86
35,UFC Fight Night: Hall vs. Silva," October 31, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/ad044be25c94dcfd
36,UFC 254: Khabib vs. Gaethje," October 24, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/c3c38c86f5ab9b5c
