,fight_url
0,http://ufcstats.com/fight-details/214b268e4a92f950
1,http://ufcstats.com/fight-details/4bb77b1d8efc53a9
2,http://ufcstats.com/fight-details/1bde9cb65d31cc76
3,http://ufcstats.com/fight-details/7c3ad06a520b8716
4,http://ufcstats.com/fight-details/43c391b251337c9b
5,http://ufcstats.com/fight-details/4911094a4ee26868
6,http://ufcstats.com/fight-details/dff1dbb8fe1f31cb
7,http://ufcstats.com/fight-details/1be65a0d2c1383f6
8,http://ufcstats.com/fight-details/cade0268dec56f3d
9,http://ufcstats.com/fight-details/c13474b85d3ced32
10,http://ufcstats.com/fight-details/40ce202eaa78860c
11,http://ufcstats.com/fight-details/7d4c160dab6eae73
12,http://ufcstats.com/fight-details/f0b83b05f3dd9580
13,http://ufcstats.com/fight-details/72105dd82d964e7a
14,http://ufcstats.com/fight-details/813444e109995c97
15,http://ufcstats.com/fight-details/940701effe1d2b6c
16,http://ufcstats.com/fight-details/8151659b2bc16f0e
17,http://ufcstats.com/fight-details/c5e71fbf22f669f7
18,http://ufcstats.com/fight-details/93d5452726f5f364
19,http://ufcstats.com/fight-details/49876b12d440af40
20,http://ufcstats.com/fight-details/7d0874323bd1f768
21,http://ufcstats.com/fight-details/7d0ce28ce8a77eb1
22,http://ufcstats.com/fight-details/8245791a3d3403c6
23,http://ufcstats.com/fight-details/53b480b44b0b51f1
24,http://ufcstats.com/fight-details/3740c8033e31c90d
25,http://ufcstats.com/fight-details/dbcc5b5d568efa8b
26,http://ufcstats.com/fight-details/7070abfa26c079b8
27,http://ufcstats.com/fight-details/96bbb6c573dac27a
28,http://ufcstats.com/fight-details/07468b6347ac5e3d
29,http://ufcstats.com/fight-details/858feabaf429a963
30,http://ufcstats.com/fight-details/5d5bf07dbfada0e3
31,http://ufcstats.com/fight-details/1aba46988c9b58f9
32,http://ufcstats.com/fight-details/ac0a1d87e9ff4085
33,http://ufcstats.com/fight-details/78afed76d0e9a639
34,http://ufcstats.com/fight-details/d40eae4425092219
35,http://ufcstats.com/fight-details/ce0fda34122f3d48
36,http://ufcstats.com/fight-details/4622ec182e7fed6b
37,http://ufcstats.com/fight-details/c9283da5f4d7aaf4
38,http://ufcstats.com/fight-details/4341ebb5a56e6943
39,http://ufcstats.com/fight-details/85099c6378ff87c5
40,http://ufcstats.com/fight-details/086c2a0cae0835c4
41,http://ufcstats.com/fight-details/81de3929330076d2
42,http://ufcstats.com/fight-details/d988760df61f027c
43,http://ufcstats.com/fight-details/0eac7075bf3d7ab7
44,http://ufcstats.com/fight-details/5357dab4d331eb18
45,http://ufcstats.com/fight-details/23c7c6ceee34585f
46,http://ufcstats.com/fight-details/50cae63d530ede7c
47,http://ufcstats.com/fight-details/6fd9a013cea5a403
48,http://ufcstats.com/fight-details/a83ebbf013905949
49,http://ufcstats.com/fight-details/d3c0dfa57950aefd
50,http://ufcstats.com/fight-details/bb1ac382e0277b3f
51,http://ufcstats.com/fight-details/2bdf774dc8b17504
52,http://ufcstats.com/fight-details/744627aec853874e
53,http://ufcstats.com/fight-details/53ed3f8f653b37b2
54,http://ufcstats.com/fight-details/87c8e086c29ae543
55,http://ufcstats.com/fight-details/e8fd128286788a6d
56,http://ufcstats.com/fight-details/1e9f081a84e7ec18
57,http://ufcstats.com/fight-details/d684d8b02ab53031
58,http://ufcstats.com/fight-details/6cd44e1b2d093ea4
59,http://ufcstats.com/fight-details/0f51869f98afa6c0
60,http://ufcstats.com/fight-details/b070b8c2c489d838
61,http://ufcstats.com/fight-details/43dfb2c1e5fecac9
62,http://ufcstats.com/fight-details/4560734220b96851
63,http://ufcstats.com/fight-details/7d2051c6bae907cb
64,http://ufcstats.com/fight-details/9127a6430e46292c
65,http://ufcstats.com/fight-details/34cb6e9952cd30a4
66,http://ufcstats.com/fight-details/d66164d2c770da68
67,http://ufcstats.com/fight-details/34d38d77c1d3f00e
68,http://ufcstats.com/fight-details/d4ad90ac58429b64
69,http://ufcstats.com/fight-details/84cde29aebf6c00c
70,http://ufcstats.com/fight-details/dedb74ee9d84deab
71,http://ufcstats.com/fight-details/1b4d5dbf5f663a97
72,http://ufcstats.com/fight-details/2c0cddd12deb7450
73,http://ufcstats.com/fight-details/f187c7ec92f43828
74,http://ufcstats.com/fight-details/bb6438338bb8aebf
75,http://ufcstats.com/fight-details/5c0e5d850d8e661f
76,http://ufcstats.com/fight-details/9252ad2304fd9a26
77,http://ufcstats.com/fight-details/1a50d5c7e1e5c058
78,http://ufcstats.com/fight-details/0716a38768a34789
79,http://ufcstats.com/fight-details/23b943e9ce495f0b
80,http://ufcstats.com/fight-details/827aacd14f80e8f3
81,http://ufcstats.com/fight-details/9cdfcd164b48f55e
82,http://ufcstats.com/fight-details/419d1e29668b57fb
83,http://ufcstats.com/fight-details/73a83b2595416f0a
84,http://ufcstats.com/fight-details/58c5d506181812fa
85,http://ufcstats.com/fight-details/d16f7ab4e28171ea
86,http://ufcstats.com/fight-details/16369fa06392f6a0
87,http://ufcstats.com/fight-details/559c0c3d752f327a
88,http://ufcstats.com/fight-details/138f719d370e8ba0
89,http://ufcstats.com/fight-details/ae0afbff5ba07a34
90,http://ufcstats.com/fight-details/7f8340dfe4220c3e
91,http://ufcstats.com/fight-details/3627f5133ce55902
92,http://ufcstats.com/fight-details/e624d85a0d718578
93,http://ufcstats.com/fight-details/b381dc272b32ce03
94,http://ufcstats.com/fight-details/c7cf2194fe5c751f
95,http://ufcstats.com/fight-details/d44a814b106b94ff
96,http://ufcstats.com/fight-details/82d48296fd06c27f
97,http://ufcstats.com/fight-details/fef29aa73bd5b907
98,http://ufcstats.com/fight-details/cfbaeb80b5ff7c00
99,http://ufcstats.com/fight-details/969aa613824c5dfe
100,http://ufcstats.com/fight-details/8cb4e3f056a84b0d
101,http://ufcstats.com/fight-details/6655a8da2655f2d0
102,http://ufcstats.com/fight-details/ca22bafab913aae7
103,http://ufcstats.com/fight-details/be2e28ba3bdeb400
104,http://ufcstats.com/fight-details/5573d46130d6b967
105,http://ufcstats.com/fight-details/2b894d87ad9aae05
106,http://ufcstats.com/fight-details/bfd672cac0726a9a
107,http://ufcstats.com/fight-details/1f2f27b36e79da74
108,http://ufcstats.com/fight-details/de332779baa1b103
